"Id_produktu","Nazwa","Id_kategorii","Cena"
"169","Obudowa SILENTIUM PC Signum SG1X TG RGB","14","299"
"170","SILENTIUMPC Armis AR6X TG RGB","14","339"
"171","KRUX Halo","14","229"
"172","KRUX Spike","14","199"
"173","SILENTIUM PC Regnum RG6V TG","14","269"
"174","BE QUIET! Pure Base 500DX","14","479"
"175","MSI Mag Vampiric 010","14","259"
"176","GENESIS Irid 400 RGB Czarny","14","379"
"177","NZXT H500i Czarno-niebieski","14","428"
"178","SILENTIUMPC Armis AR6Q Evo TG ARGB","14","259"
"179","SILENTIUM PC Gladius GD8 TG ARGB (SPC215)","14","319.99"
"180","SILENTIUM PC Astrum AT6V TG","14","289"
